key,source,url,license_note,local_path,status,size_bytes,sha256,downloaded_at,error
spamassassin_easy_ham,spamassassin_ham,https://spamassassin.apache.org/old/publiccorpus/20021010_easy_ham.tar.bz2,SpamAssassin Public Corpus terms/readme,data/raw/spamassassin_ham/20021010_easy_ham.tar.bz2,existing,1677144,f9fc56e1f68780f9afdc6d23a2e24c4584af988afc58bbfabae500e51f3a2f36,2026-09-01T05:47:07.550064Z,
spamassassin_easy_ham_2,spamassassin_ham,https://spamassassin.apache.org/old/publiccorpus/20030228_easy_ham.tar.bz2,SpamAssassin Public Corpus terms/readme,data/raw/spamassassin_ham/20030228_easy_ham.tar.bz2,existing,1612216,2b7b65904bcfcc31d2b5f51946f2d261370b257402cbbd62930b46ab83367438,2026-09-01T05:47:07.554574Z,
spamassassin_easy_ham_3,spamassassin_ham,https://spamassassin.apache.org/old/publiccorpus/20030228_easy_ham_2.tar.bz2,SpamAssassin Public Corpus terms/readme,data/raw/spamassassin_ham/20030228_easy_ham_2.tar.bz2,existing,1077892,b4bd3dc5ae5b40f38e99a0e41ad7d16b428b56e818e3a6ffa07330d62004dd38,2026-09-01T05:47:07.556591Z,
spamassassin_hard_ham,spamassassin_ham,https://spamassassin.apache.org/old/publiccorpus/20021010_hard_ham.tar.bz2,SpamAssassin Public Corpus terms/readme,data/raw/spamassassin_ham/20021010_hard_ham.tar.bz2,existing,1021126,7cd46378877e00caa4e943920a854e2ef95ac29e296cf2a3ce691fb4104c4fbd,2026-09-01T05:47:07.552574Z,
spamassassin_hard_ham_2,spamassassin_ham,https://spamassassin.apache.org/old/publiccorpus/20030228_hard_ham.tar.bz2,SpamAssassin Public Corpus terms/readme,data/raw/spamassassin_ham/20030228_hard_ham.tar.bz2,existing,1029898,ce2ce67880643dbde65ea7f85bffbfe4417349c4bd80b6b0de56262ae6b0a9c9,2026-09-01T05:47:07.557574Z,
zenodo_ling_csv,supplemental_zenodo,https://zenodo.org/api/records/8339691/files/Ling.csv/content,CC BY 4.0; Zenodo record 8339691,data/raw/supplemental_zenodo/Ling.csv,existing,9337509,9407c9e022accc6c831e54c5226b99b30ac4ae07682e63f5d483ed0ec17ff23c,2026-09-01T12:08:54.971626Z,
zenodo_nazario_csv,supplemental_zenodo,https://zenodo.org/api/records/8339691/files/Nazario.csv/content,CC BY 4.0; Zenodo record 8339691,data/raw/supplemental_zenodo/Nazario.csv,existing,7811841,b8fbc4158fbdfaff1ed98584c43d72e283c6352d7ade4d457d34c1d79488d184,2026-09-01T09:38:34.093036Z,
zenodo_nigerian_5,supplemental_zenodo,https://zenodo.org/api/records/8339691/files/Nigerian_5.csv/content,CC BY 4.0; Zenodo record 8339691,data/raw/supplemental_zenodo/Nigerian_5.csv,existing,18253749,3171eeb9bf560059e7f88458efde65c056fc939b842a5edc158f2d7bb887c8b7,2026-09-01T09:38:34.056061Z,
zenodo_nigerian_fraud,supplemental_zenodo,https://zenodo.org/api/records/8339691/files/Nigerian_Fraud.csv/content,CC BY 4.0; Zenodo record 8339691,data/raw/supplemental_zenodo/Nigerian_Fraud.csv,existing,9192393,f5d6930763cae6feeae6484131c79655a7440abbb97d6f51eab757aea4e6ab4b,2026-09-01T09:38:34.084599Z,
zenodo_spamassassin_csv,supplemental_zenodo,https://zenodo.org/api/records/8339691/files/SpamAssasin.csv/content,CC BY 4.0; Zenodo record 8339691,data/raw/supplemental_zenodo/SpamAssasin.csv,existing,14879195,3bfe8f8abff89f69a98456be50413c2fcb20a476141116dd84ee1507b980c00e,2026-09-01T09:38:34.072035Z,
